OBJECTID,Name,POINT_X,POINT_Y
537,Washington,-122.98302459700,48.56666946400
538,Washington,-122.98305511500,48.56638717670
539,Washington,-122.98332977300,48.56638717670
540,Washington,-122.98416900600,48.56555557270
541,Washington,-122.98472595200,48.56555557270
542,Washington,-122.98555755600,48.56638717670
543,Washington,-122.98500061000,48.56694412240
544,Washington,-122.98500061000,48.56750106800
545,Washington,-122.98555755600,48.56805419960
546,Washington,-122.98555755600,48.56833267200
547,Washington,-122.98527526800,48.56861114530
548,Washington,-122.98500061000,48.56861114530
549,Washington,-122.98472595200,48.56888961770
550,Washington,-122.98416900600,48.56888961770
551,Washington,-122.98419189500,48.56916809090
552,Washington,-122.98444366400,48.56944274930
553,Washington,-122.98472595200,48.56972122170
554,Washington,-122.98555755600,48.56972122170
555,Washington,-122.98621368400,48.56986236580
556,Washington,-122.98670196600,48.57019042940
557,Washington,-122.98717498800,48.57056045550
558,Washington,-122.98759460500,48.57100677460
559,Washington,-122.98805999800,48.57143402100
560,Washington,-122.98853302000,48.57185363740
561,Washington,-122.98901367200,48.57225799600
562,Washington,-122.98941040100,48.57270813010
563,Washington,-122.98973083500,48.57320785550
564,Washington,-122.99000549300,48.57372665370
565,Washington,-122.99019622800,48.57430648800
566,Washington,-122.99052429200,48.57468032800
567,Washington,-122.99093627900,48.57491683980
568,Washington,-122.99143219000,48.57498550400
569,Washington,-122.99195098900,48.57500457770
570,Washington,-122.99246978700,48.57505035410
571,Washington,-122.99294281000,48.57524108860
572,Washington,-122.99332428000,48.57561492960
573,Washington,-122.99359130800,48.57610702510
574,Washington,-122.99382782000,48.57662582420
575,Washington,-122.99411010700,48.57710647590
576,Washington,-122.99446868900,48.57747650100
577,Washington,-122.99488830500,48.57777786300
578,Washington,-122.99533081000,48.57805633530
579,Washington,-122.99578857400,48.57831954980
580,Washington,-122.99626922600,48.57855224580
581,Washington,-122.99678802500,48.57874298120
582,Washington,-122.99727630700,48.57896041840
583,Washington,-122.99766540500,48.57928848300
584,Washington,-122.99791717500,48.57969284070
585,Washington,-122.99792480500,48.58012771590
586,Washington,-122.99788665800,48.58052062970
587,Washington,-122.99801635800,48.58082199070
588,Washington,-122.99819946300,48.58105850250
589,Washington,-122.99841308600,48.58118438690
590,Washington,-122.99833679200,48.58139038120
591,Washington,-122.99861145000,48.58166503950
592,Washington,-122.99888610800,48.58166503950
593,Washington,-122.99902343700,48.58179855380
594,Washington,-122.99916839600,48.58194351190
595,Washington,-122.99972534200,48.58194351190
596,Washington,-123.00000000000,48.58222198520
597,Washington,-123.00027465800,48.58222198520
598,Washington,-123.00107574400,48.58143234260
599,Washington,-123.00083160400,48.58111190790
600,Washington,-123.00083160400,48.58055496220
601,Washington,-123.00138855000,48.58000183060
602,Washington,-123.00389099100,48.58000183060
603,Washington,-123.00416564900,48.58027648900
604,Washington,-123.00444793700,48.58027648900
